Code variable,Déscription,Unités,Groupement temporel,Agrégation
cape,Convective Available Potential Energy,J kg-1,daily,area: time: mean
capemax,Daily Maximum Convective Available Potential Energy,J kg-1,daily,area: mean time: maximum
clt,Total Cloud Cover Percentage,%,daily,area: time: mean
clwvi,Condensed Water Path,kg m-2,daily,area: time: mean
evspsbl,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,daily,area: time: mean
hfls,Surface Upward Latent Heat Flux,W m-2,daily,area: time: mean
hfss,Surface Upward Sensible Heat Flux,W m-2,daily,area: time: mean
hurs,Near-Surface Relative Humidity,%,daily,area: time: mean
hursmin,Daily minimum Near-Surface Relative humidity,%,daily,area: mean time: minimum
hus1000,Specific Humidity at 1000hPa,1,daily,area: time: mean
hus250,Specific Humidity at 250hPa,1,daily,area: time: mean
hus500,Specific Humidity at 500hPa,1,daily,area: time: mean
hus600,Specific Humidity at 600hPa,1,daily,area: time: mean
hus700,Specific Humidity at 700hPa,1,daily,area: time: mean
hus850,Specific Humidity at 850hPa,1,daily,area: time: mean
hus925,Specific Humidity at 925hPa,1,daily,area: time: mean
huss,Near-Surface Specific Humidity,1,daily,area: time: mean
mrfso,Soil Frozen Water Content,kg m-2,daily,area: mean where land time: mean
mrfsos,Frozen Water Content in Upper Portion of Soil Column,kg m-2,daily,area: mean where land time: mean
mrro,Total Runoff,kg m-2 s-1,daily,area: mean where land time: mean
mrros,Surface Runoff,kg m-2 s-1,daily,area: mean where land time: mean
mrsfl,Frozen Water Content of Soil Layer,kg m-2,daily,area: mean where land time: mean
mrso,Total Soil Moisture Content,kg m-2,daily,area: mean where land time: mean
mrsol,Total Water Content of Soil Layer,kg m-2,daily,area: mean where land time: mean
mrsos,Moisture in Upper Portion of Soil Column,kg m-2,daily,area: mean where land time: mean
pr,Precipitation,kg m-2 s-1,daily,area: time: mean
prc,Convective Precipitation,kg m-2 s-1,daily,area: time: mean
prfr,Freezing rain Flux,kg m-2 s-1,daily,area: time: mean
prhmax,Daily Maximum Hourly Precipitation Rate,kg m-2 s-1,daily,area: mean time: mean within hours time: maximum over hours
prra,Rainfall Flux,kg m-2 s-1,daily,area: time: mean
prsn,Snowfall Flux,kg m-2 s-1,daily,area: time: mean
prw,Water Vapor Path,kg m-2,daily,area: time: mean
ps,Surface Air Pressure,Pa,daily,area: time: mean
psl,Sea Level Pressure,Pa,daily,area: time: mean
rlds,Surface Downwelling Longwave Radiation,W m-2,daily,area: time: mean
rlus,Surface Upwelling Longwave Radiation,W m-2,daily,area: time: mean
rlut,TOA Outgoing Longwave Radiation,W m-2,daily,area: time: mean
rsds,Surface Downwelling Shortwave Radiation,W m-2,daily,area: time: mean
