Variable code,Description,Units,Temporal grouping,Aggregation
hurs,Near-Surface Relative Humidity (1.5m),%,hourly,time: point
huss,Near-Surface Specific Humidity (1.5m),1,hourly,time: point
pr,Precipitation,kg m-2 s-1,hourly,time: mean (interval: 1 hour)
ps,Surface Air Pressure,Pa,hourly,time: point
psl,Sea Level Pressure,Pa,hourly,time: point
tas,1.5 metre temperature,K,hourly,time: point
tdps,1.5 metre dewpoint temperature,K,hourly,time: point
lakeFrac,Lake Area Fraction,,invariant,
sftlf,Land Area Fraction,,invariant,
sftof,Sea Area Fraction,,invariant,
