Code variable,Déscription,Unités,Groupement temporel,Agrégation
ccdcold_18,Cooling degree days (Tmean > 18C) ,degree_days,annual,
cdd,Maximum consecutive dry days (Precip < 1mm),days,annual,
dlyfrzthw_tx0_tn-1,Daily freezethaw cycles,days,annual,tasmin: time: minimum tasmax: time: maximum
first_fall_frost,Day of year of first fall frost,,annual,time: minimum
frost_days,Frost days (Tmin <0°C) ,days,annual,
frost_free_season,Frost free season,days,annual,time: minimum time: min within days time: maximum over days
gddgrow_5,Annual Growing Degree Days (Tmean > 5C),degree_days,annual,
hddheat_18,Heating Degree Days (Tmean < 18C),degree_days,annual,
ice_days,Number of ice days (Tmax < 0 degC),days,annual,
last_spring_frost,Day of year of last spring frost,,annual,time: minimum
gddgrow_0,Growing degree days above 0,K days,monthly; annual,time: mean time: mean within days time: sum over days
nr_cdd,Number of cdd periods in given time period with more than 5 days. the time period should be defined by the bounds of the time coordinate.,,monthly; annual,time: mean
rx5day,Maximum 5-day precipitation,mm,monthly; annual,
tn_min,Minimum daily minimum temperature,K,monthly; annual,
tnlt_m15,Number of days with tmin < -15c,days,monthly; annual,time: minimum time: minimum within days time: sum over days
tnlt_m25,Number of days with tmin < -25c,days,monthly; annual,time: minimum time: minimum within days time: sum over days
tr_18,Number of tropical nights (tmin > 18c),days,monthly; annual,time: minimum time: minimum within days time: sum over days
tr_20,Number of tropical nights (tmin > 20c),days,monthly; annual,time: minimum time: minimum within days time: sum over days
tr_22,Number of tropical nights (tmin > 22c),days,monthly; annual,time: minimum time: minimum within days time: sum over days
tx_max,Maximum value of daily maximum temperature,K,monthly; annual,
txgt_25,Number of days with tmax > 25c,days,monthly; annual,time: maximum time: maximum within days time: sum over days
txgt_27,Number of days with tmax > 27c,days,monthly; annual,time: maximum time: maximum within days time: sum over days
txgt_29,Number of days with tmax > 29c,days,monthly; annual,time: maximum time: maximum within days time: sum over days
txgt_30,Number of days with tmax > 30c,days,monthly; annual,time: maximum time: maximum within days time: sum over days
txgt_32,Number of days with tmax > 32c,days,monthly; annual,time: maximum time: maximum within days time: sum over days
pr10mm,Number of days with daily precipitation at or above 10 mm/day,days,seasonal; monthly; annual,time: mean time: sum over days
pr1mm,Number of wet days (precip >= 1 mm),days,seasonal; monthly; annual,time: mean time: sum within days time: sum over days
pr20mm,Number of wet days (precip >= 20 mm),days,seasonal; monthly; annual,time: mean time: sum within days time: sum over days
prcptot,Total precipitation,mm day-1,seasonal; monthly; annual,
prtot,Total precipitation,mm day-1,seasonal; monthly; annual,
prx1day,Maximum 1-day total precipitation,mm/day,seasonal; monthly; annual,time: mean time: sum within days time: maximum over days
r10mm,Number of days with daily precipitation at or above 10 mm/day,days,seasonal; monthly; annual,time: mean time: sum over days
r1mm,Number of wet days (precip >= 1 mm),days,seasonal; monthly; annual,time: mean time: sum within days time: sum over days
r20mm,Number of wet days (precip >= 20 mm),days,seasonal; monthly; annual,time: mean time: sum within days time: sum over days
rx1day,Maximum 1-day total precipitation,mm/day,seasonal; monthly; annual,time: mean time: sum within days time: maximum over days
tg_mean,Mean daily mean temperature,K,seasonal; monthly; annual,time: mean time: mean within days time: mean over days
tn_mean,Mean daily minimum temperature,K,seasonal; monthly; annual,
tx_mean,Mean daily maximum temperature,K,seasonal; monthly; annual,
