Variable code,Description,Units,Temporal grouping,Aggregation
cdd,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day.,days,30y average,time: mean time: sum over days
cdd_delta_1971_2000,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1971-2000.,days,30y average,time: mean time: sum over days
cdd_delta_1991_2020,30-year climatological average of Maximum consecutive days with daily precipitation below 1 mm/day: abs. delta compared to 1991-2020.,days,30y average,time: mean time: sum over days
cddcold_18,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1971_2000,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_delta_1991_2020,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 18 degc: abs. delta compared to 1991-2020.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
dlyfrzthw_tx0_tn-1,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1971_2000,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1971-2000.,days,30y average,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_delta_1991_2020,30-year climatological average of Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc: abs. delta compared to 1991-2020.,days,30y average,tasmin: time: minimum tasmax: time: maximum
first_fall_frost,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc.,,30y average,time: minimum
first_fall_frost_delta_1971_2000,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1971-2000.,,30y average,time: minimum
first_fall_frost_delta_1991_2020,30-year climatological average of First day of year with a period of at least 1 days of minimum temperature below 0 degc: abs. delta compared to 1991-2020.,,30y average,time: minimum
first_snowfall,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day,dayofsnowyear,30y average,
first_snowfall_delta_1971_2000,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1971-2000.,dayofsnowyear,30y average,
first_snowfall_delta_1991_2020,30 year mean First day of snow year (starting July 1st) when snowfall exceeded 1 mm/day: delta compared to 1991-2020.,dayofsnowyear,30y average,
frost_days,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc.,days,30y average,time: minimum time: sum over days
frost_days_delta_1971_2000,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: sum over days
frost_days_delta_1991_2020,30-year climatological average of Number of days where the daily minimum temperature is below 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: sum over days
frost_free_season,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1971_2000,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1971-2000.,days,30y average,time: minimum time: maximum over days
frost_free_season_delta_1991_2020,30-year climatological average of Maximum number of consecutive days with minimum temperature at or above 0 degc: abs. delta compared to 1991-2020.,days,30y average,time: minimum time: maximum over days
gddgrow_0,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
gddgrow_0_delta_1971_2000,30-year climatological average of Cumulative sum of temperature degrees for mean daily temperature above 0 degc: abs. delta compared to 1971-2000.,K days,30y average,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
