Variable code,Description,Units,Temporal grouping,Aggregation
cdd_p10,Maximum consecutive days with daily precipitation below 1 mm/day,days,annual,time: mean time: sum over days
cdd_p50,Maximum consecutive days with daily precipitation below 1 mm/day,days,annual,time: mean time: sum over days
cdd_p90,Maximum consecutive days with daily precipitation below 1 mm/day,days,annual,time: mean time: sum over days
cddcold_18_p10,Cumulative sum of temperature degrees for mean daily temperature above 18 degc,K days,annual,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_p50,Cumulative sum of temperature degrees for mean daily temperature above 18 degc,K days,annual,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
cddcold_18_p90,Cumulative sum of temperature degrees for mean daily temperature above 18 degc,K days,annual,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
dlyfrzthw_tx0_tn-1_p10,Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc,days,annual,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_p50,Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc,days,annual,tasmin: time: minimum tasmax: time: maximum
dlyfrzthw_tx0_tn-1_p90,Number of days where maximum daily temperatures are above 0 degc and minimum daily temperatures are at or below -1 degc,days,annual,tasmin: time: minimum tasmax: time: maximum
first_fall_frost_p10,First day of year with a period of at least 1 days of minimum temperature below 0 degc,,annual,time: minimum
first_fall_frost_p50,First day of year with a period of at least 1 days of minimum temperature below 0 degc,,annual,time: minimum
first_fall_frost_p90,First day of year with a period of at least 1 days of minimum temperature below 0 degc,,annual,time: minimum
frost_days_p10,Number of days where the daily minimum temperature is below 0 degc,days,annual,time: minimum time: sum over days
frost_days_p50,Number of days where the daily minimum temperature is below 0 degc,days,annual,time: minimum time: sum over days
frost_days_p90,Number of days where the daily minimum temperature is below 0 degc,days,annual,time: minimum time: sum over days
frost_free_season_p10,Maximum number of consecutive days with minimum temperature at or above 0 degc,days,annual,time: minimum time: maximum over days
frost_free_season_p50,Maximum number of consecutive days with minimum temperature at or above 0 degc,days,annual,time: minimum time: maximum over days
frost_free_season_p90,Maximum number of consecutive days with minimum temperature at or above 0 degc,days,annual,time: minimum time: maximum over days
gddgrow_5_p10,Cumulative sum of temperature degrees for mean daily temperature above 5 degc,K days,annual,tasmin: time: minimum tasmax: time: maximum time: mean within days time: sum over days
