Code variable,Déscription,Unités,Groupement temporel,Agrégation
pr,Precipitation,kg m-2 s-1,daily,time: mean (interval: 1 day)
prsn,Snowfall flux,kg m-2 s-1,daily,time: mean (interval: 1 hour)
rlds,Surface downwelling longwave flux,W m-2,daily,time: mean (interval: 1 day)
rls,Surface net downward longwave flux,W m-2,daily,time: mean (interval: 1 day)
rsds,Surface downwelling shortwave flux,W m-2,daily,time: mean (interval: 1 day)
rss,Surface net downward shortwave flux,W m-2,daily,time: mean (interval: 1 day)
tas,2 metre temperature,K,daily,time: point
tasmax,2 metre temperature,K,daily,time: point
tasmin,2 metre temperature,K,daily,time: point
z,geopotential,m2 s-2,invariant,
